time,force,rpm,label
2021-04-12 09:14:00.765000+00:00,778,5001,0
2021-04-12 09:14:02.666000+00:00,783,5028,0
2021-04-12 09:14:04.570000+00:00,778,5018,0
2021-04-12 09:14:06.488000+00:00,787,5020,0
2021-04-12 09:14:08.405000+00:00,795,5021,0
2021-04-12 09:14:10.307000+00:00,783,4977,0
2021-04-12 09:14:12.223000+00:00,787,4995,0
2021-04-12 09:14:14.141000+00:00,791,5025,0
2021-04-12 09:14:16.062000+00:00,795,5002,0
2021-04-12 09:14:17.963000+00:00,774,5048,0
2021-04-12 09:14:19.888000+00:00,787,5035,0
2021-04-12 09:14:21.790000+00:00,787,4962,0
2021-04-12 09:14:23.704000+00:00,800,4969,0
2021-04-12 09:14:25.624000+00:00,795,5036,0
2021-04-12 09:14:27.545000+00:00,800,4971,0
2021-04-12 09:14:29.446000+00:00,787,4960,0
2021-04-12 09:14:31.348000+00:00,787,5015,0
2021-04-12 09:14:33.245000+00:00,791,4996,0
2021-04-12 09:14:35.201000+00:00,791,4973,0
2021-04-12 09:14:37.123000+00:00,795,4973,0
2021-04-12 09:14:39.026000+00:00,787,4972,0
2021-04-12 09:14:40.926000+00:00,791,4971,0
2021-04-12 09:14:42.844000+00:00,787,4978,0
2021-04-12 09:14:44.764000+00:00,795,4991,0
2021-04-12 09:14:46.687000+00:00,795,5008,0
2021-04-12 09:14:48.583000+00:00,783,4998,0
2021-04-12 09:14:50.482000+00:00,787,4985,0
2021-04-12 09:14:52.403000+00:00,795,4961,0
2021-04-12 09:14:54.325000+00:00,795,5014,0
2021-04-12 09:14:56.242000+00:00,800,5026,0
2021-04-12 09:14:58.146000+00:00,774,5048,0
2021-04-12 09:15:00.040000+00:00,778,5037,0
2021-04-12 09:15:01.961000+00:00,791,5030,0
2021-04-12 09:15:03.882000+00:00,800,4971,0
2021-04-12 09:15:05.802000+00:00,795,5035,0
2021-04-12 09:15:07.703000+00:00,783,5000,0
2021-04-12 09:15:09.605000+00:00,778,5027,0
2021-04-12 09:15:11.541000+00:00,783,5025,0
2021-04-12 09:15:13.464000+00:00,795,4975,0
2021-04-12 09:15:15.384000+00:00,800,5045,0
2021-04-12 09:15:17.301000+00:00,774,5029,0
2021-04-12 09:15:19.203000+00:00,787,4967,0
2021-04-12 09:15:21.123000+00:00,787,4982,0
2021-04-12 09:15:23.044000+00:00,795,5003,0
2021-04-12 09:15:24.967000+00:00,791,5028,0
